"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","boundaries","match_result"
"335988","240","43","6","38","12.6667","1","6","13","100.0000","0","Won"
"335990","165","3","5","16","8.0000","1","3","38","211.1111","6","Lost"
"335994","208","19","3","17","5.6667","2","1","35","233.3333","5","Won"
"335995","214","17","3","28","14.0000","0","4","1","100.0000","0","Lost"
"335996","182","67","1","19","6.3333","2","2","2","66.6667","0","Won"
"336001","178","17","1","25","8.3333","1","2","1","100.0000","0","Won"
"336003","191","30","5","12","12.0000","0","1","13","108.3333","1","Won"
"336005","196","46","1","23","7.6667","1","3","1","50.0000","0","Won"
"336014","187","15","4","13","13.0000","0","2","2","100.0000","0","Lost"
"336018","181","27","4","17","5.6667","2","1","32","213.3333","5","Won"
"336019","198","27","3","7","7.0000","1","1","68","178.9474","10","Won"
"336020","156","2","3","34","17.0000","0","5","1","33.3333","0","Lost"
"336025","194","15","4","15","5.0000","2","1","9","225.0000","1","Won"
"336028","197","80","1","7","7.0000","0","1","61","203.3333","9","Won"
"336033","189","19","3","40","13.3333","0","7","4","133.3333","0","Won"
"336034","126","16","2","26","8.6667","1","4","20","117.6471","2","Won"
"336036","175","5","6","31","10.3333","0","4","14","155.5556","1","Lost"
"336037","176","8","5","20","6.6667","1","3","11","122.2222","2","Lost"
"336039","156","20","4","31","10.3333","0","4","3","100.0000","0","Won"
"336040","174","15","3","21","7.0000","0","4","71","144.8980","10","Lost"
"336041","145","15","5","14","4.6667","2","1","30","120.0000","2","Lost"
"336042","147","7","7","25","8.3333","1","4","11","100.0000","1","Lost"
"336045","163","8","3","34","11.3333","0","6","5","125.0000","0","Lost"
"392186","165","25","4","15","5.0000","2","1","14","107.6923","1","Won"
"392193","184","29","3","13","4.3333","1","2","49","168.9655","7","Won"
"392195","150","7","4","15","5.0000","2","1","45","180.0000","6","Lost"
"392197","168","22","4","20","6.6667","1","2","2","66.6667","0","Won"
"392199","149","3","6","25","8.3333","0","3","20","181.8182","3","Lost"
"392200","139","34","3","21","7.0000","2","3","31","103.3333","3","Won"
"392201","165","8","6","30","10.0000","1","5","62","116.9811","7","Lost"
"392204","139","10","5","18","6.0000","0","2","1","100.0000","0","Lost"
"392205","119","12","4","12","4.0000","1","1","55","93.2203","4","Won"
"392207","164","44","2","16","5.3333","3","1","3","75.0000","0","Won"
"392208","148","19","5","11","5.5000","0","0","4","80.0000","0","Won"
"392209","145","13","5","23","7.6667","0","3","8","160.0000","1","Won"
"392210","141","2","3","17","5.6667","2","2","3","75.0000","0","Lost"
"392211","163","29","2","16","8.0000","0","2","1","50.0000","0","Won"
"392212","153","7","6","23","7.6667","1","3","17","121.4286","2","Lost"
"392215","211","84","2","15","5.0000","1","2","5","83.3333","0","Won"
"392217","145","25","2","14","4.6667","2","2","4","80.0000","0","Won"
"392221","168","8","3","22","11.0000","0","3","3","75.0000","0","Lost"
"392223","157","33","3","21","7.0000","1","1","34","121.4286","1","Won"
"392225","166","57","1","22","7.3333","2","2","16","88.8889","0","Won"
"392226","173","5","6","25","12.5000","0","4","13","162.5000","1","Lost"
"392228","173","14","2","14","7.0000","2","1","9","180.0000","1","Won"
"392229","129","5","3","9","9.0000","1","0","46","93.8776","3","Lost"
"392230","145","4","3","21","7.0000","1","3","1","50.0000","0","Won"
"392231","120","6","6","11","3.6667","0","1","39","86.6667","5","Won"
"392232","147","3","7","17","5.6667","1","2","60","105.2632","5","Lost"
"392233","160","21","6","33","11.0000","1","4","10","142.8571","1","Lost"
"392234","134","11","4","20","10.0000","0","4","36","163.6364","5","Won"
"392235","150","28","1","22","7.3333","1","3","10","200.0000","2","Won"
"392236","188","6","7","19","9.5000","0","2","69","168.2927","8","Lost"
"392238","101","4","4","16","5.3333","1","3","48","106.6667","5","Lost"
"392241","170","26","4","33","11.0000","1","5","6","200.0000","1","Won"
"419111","161","17","3","26","8.6667","1","4","6","150.0000","1","Won"
"419112","212","12","5","15","5.0000","1","1","4","133.3333","0","Won"
"419113","142","4","6","24","8.0000","0","3","25","119.0476","1","Lost"
"419115","190","45","1","17","8.5000","1","2","2","100.0000","0","Won"
"419118","164","56","1","9","4.5000","2","1","6","46.1538","0","Won"
