"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"829774","187","20","4","28","9.3333","1","5","4","133.3333","0","2","100.0000","0","80","1172","10.7032","62","11","102","150.0000","40","397","151.5267","104","3037","8.5670","127","13","115","129.2135","66","880","129.0323","Won"
"392241","170","26","4","33","11.0000","1","5","6","200.0000","1","1","50.0000","0","79","1058","10.7230","43","4","36","109.0909","20","97","112.7907","119","3342","7.9477","102","7","69","82.1429","21","117","105.4054","Won"
"392201","165","8","6","30","10.0000","1","5","62","116.9811","7","8","61.5385","0","58","877","10.4821","39","5","72","160.0000","4","36","109.0909","73","2083","8.2659","85","36","886","110.0621","7","69","82.1429","Lost"
"392234","134","11","4","20","10.0000","0","4","36","163.6364","5","0","0.0000","0","64","776","9.5215","41","84","1478","183.8308","20","97","112.7907","101","2703","7.9383","99","194","5230","131.0449","21","117","105.4054","Won"
"829732","127","5","6","23","7.6667","0","2","1","100.0000","0","14","116.6667","1","79","1058","10.7230","43","39","439","157.3477","40","397","151.5267","119","3342","7.9477","102","45","527","136.8831","66","880","129.0323","Lost"
"829792","201","18","3","34","11.3333","3","7","1","100.0000","0","26","371.4286","4","100","1446","9.0753","83","40","397","151.5267","34","432","170.7510","121","3327","7.4016","146","66","880","129.0323","42","551","158.3333","Won"
"829766","171","29","4","15","5.0000","0","2","15","136.3636","2",NULL,NULL,NULL,"81","1232","10.6207","62","37","428","144.5946","57","637","157.6733","120","3687","8.7508","137","69","1373","120.7564","67","975","142.7526","Won"
"548372","171","14","5","25","12.5000","0","4","81","152.8302","10","38","135.7143","5","20","234","9.2368","9","76","930","167.8700","110","1783","177.2366","38","755","8.1769","19","149","3659","126.6967","144","3044","150.9921","Lost"
"548384","187","46","2","8","8.0000","0","1","16","114.2857","2","5","250.0000","1","72","700","8.7137","30","20","86","89.5833","18","99","101.0204","155","3515","7.7737","122","20","88","88.8889","20","104","96.2963","Won"
"548360","173","16","3","18","6.0000","1","3","9","180.0000","1",NULL,NULL,NULL,"14","183","11.4375","7","20","168","152.7273","20","86","89.5833","17","497","8.0161","23","88","2385","135.8974","20","88","88.8889","Lost"
"548344","168","5","4","17","5.6667","2","1","15","375.0000","3","29","193.3333","3","23","339","9.8261","18","4","19","118.7500","76","930","167.8700","23","707","7.8994","31","5","32","106.6667","149","3659","126.6967","Lost"
"501237","181","44","5","18","6.0000","1","2","8","66.6667","1",NULL,NULL,NULL,"22","244","9.8919","16","37","536","173.4628","3","14","87.5000","38","1057","8.3447","48","182","4607","130.5839","3","20","76.9231","Won"
"501231","142","30","3","18","6.0000","1","1","14","100.0000","0","2","200.0000","0","24","297","7.6154","28","2","20","117.6471","2","3","100.0000","27","716","7.4583","43","2","26","118.1818","2","3","100.0000","Won"
"501246","160","33","4","25","8.3333","1","3","23","104.5455","1",NULL,NULL,NULL,"48","552","10.6154","29","37","536","173.4628","2","2","66.6667","92","1975","8.9434","71","182","4607","130.5839","2","2","66.6667","Won"
"980942","180","7","7","23","7.6667","0","3","11","137.5000","1","49","128.9474","3","72","961","9.9931","55","103","1102","145.9603","84","1162","169.3878","105","2742","8.1124","107","136","2159","127.4498","176","3823","129.9456","Lost"
"980960","154","30","2","25","8.3333","0","4","32","128.0000","3",NULL,NULL,NULL,"60","731","9.9007","41","39","439","157.3477","18","99","101.0204","92","2686","7.8347","117","45","527","136.8831","20","104","96.2963","Won"
"980968","164","12","4","21","7.0000","3","2","20","333.3333","3","10","111.1111","1","42","548","10.8158","28","53","507","148.2456","20","251","154.9383","68","1743","9.1177","67","71","913","128.2303","32","511","121.0900","Won"
